** File generated by WinEP - 10/08/2023 (5:28p) **

Time    	AVz     
0.000000	0.000000
0.100000	8.201013
0.200000	16.641468
0.300000	17.639242
0.400000	16.978376
0.500000	16.281755
0.600000	15.813144
0.700000	15.206252
0.800000	14.213258
0.900000	13.193445
1.000000	12.519913
1.100000	12.314366
1.200000	12.435673
1.300000	12.671442
1.400000	12.927056
1.500000	13.178569
1.600000	13.410218
1.700000	13.597109
1.800000	13.716814
1.900000	13.764605
2.000000	13.753839
2.100000	13.706077
2.200000	13.641195
2.300000	13.574092
2.400000	13.514742
2.500000	13.469563
2.600000	13.441677
2.700000	13.430781
2.800000	13.433786
2.900000	13.446093
3.000000	13.462955
3.100000	13.480272
3.200000	13.495167
3.300000	13.506089
3.400000	13.512564
3.500000	13.514809
3.600000	13.513683
3.700000	13.510253
3.800000	13.505770
3.900000	13.501199
4.000000	13.497276
4.100000	13.494423
4.200000	13.492741
4.300000	13.492125
4.400000	13.492352
4.500000	13.493116
4.600000	13.494126
4.700000	13.495148
4.800000	13.495996
4.900000	13.496577
5.000000	13.496871
5.100000	13.496892
5.200000	13.496706
5.300000	13.496390
5.400000	13.496008
5.500000	13.495631
5.600000	13.495301
5.700000	13.495033
5.800000	13.494846
5.900000	13.494727
6.000000	13.494614
6.100000	13.458699
6.200000	13.142715
6.300000	13.094582
6.400000	13.225670
6.500000	12.181371
6.600000	10.906940
6.700000	11.464866
6.800000	13.211312
6.900000	14.799814
7.000000	15.608353
7.100000	15.659199
7.200000	15.208776
7.300000	14.635303
7.400000	14.169863
7.500000	13.929394
7.600000	13.935350
7.700000	14.148591
7.800000	14.453468
7.900000	14.739620
8.000000	14.933593
8.100000	14.997381
8.200000	14.942923
8.300000	14.819287
8.400001	14.689534
8.500000	14.602871
8.600000	14.587626
8.700000	14.643630
8.800000	14.744198
8.900001	14.853424
9.000000	14.942482
9.100000	15.004528
9.200000	15.054240
9.300000	15.098851
9.400001	15.161030
9.500000	15.239536
9.600000	15.319401
9.700000	15.388502
9.800000	15.441202
9.900001	15.477883
10.000000	15.502685

