** File generated by WinEP - 10/08/2023 (9:17p) **

Time    	AVz     
0.000000	0.000000
0.100000	8.183749
0.200000	16.579933
0.300000	17.569067
0.400000	16.935381
0.500000	16.270216
0.600000	15.828798
0.700000	15.237977
0.800000	14.253841
0.900000	13.233204
1.000000	12.552840
1.100000	12.335673
1.200000	12.440454
1.300000	12.661901
1.400000	12.909227
1.500000	13.158682
1.600000	13.392728
1.700000	13.584337
1.800000	13.709467
1.900000	13.762301
2.000000	13.755532
2.100000	13.710333
2.200000	13.646572
2.300000	13.579274
2.400000	13.518807
2.500000	13.472029
2.600000	13.442447
2.700000	13.430050
2.800000	13.431932
2.900000	13.443579
3.000000	13.460247
3.100000	13.477741
3.200000	13.493036
3.300000	13.504423
3.400000	13.511353
3.500000	13.514015
3.600000	13.513195
3.700000	13.509964
3.800000	13.505459
3.900000	13.500781
4.000000	13.496707
4.100000	13.493689
4.200000	13.491852
4.300000	13.491108
4.400000	13.491242
4.500000	13.491954
4.600000	13.492946
4.700000	13.493975
4.800000	13.494847
4.900000	13.495460
5.000000	13.495781
5.100000	13.495822
5.200000	13.495645
5.300000	13.495326
5.400000	13.494931
5.500000	13.494534
5.600000	13.494181
5.700000	13.493888
5.800000	13.493677
5.900000	13.493537
6.000000	13.493448
6.100000	13.472224
6.200000	13.170676
6.300000	13.125012
6.400000	13.279911
6.500000	12.418343
6.600000	11.359029
6.700000	11.951833
6.800000	13.628656
6.900000	15.106971
7.000000	15.859329
7.100000	15.853671
7.200000	15.429462
7.300000	14.902672
7.400000	14.492960
7.500000	14.311920
7.600000	14.361709
7.700000	14.566713
7.800000	14.824250
7.900000	15.045743
8.000000	15.181309
8.100000	15.213137
8.200000	15.158044
8.300000	15.061749
8.400001	14.972607
8.500000	14.922212
8.600000	14.918091
8.700000	14.954411
8.800000	15.014211
8.900001	15.080233
9.000000	15.135919
9.100000	15.173521
9.200000	15.191637
9.300000	15.194561
9.400001	15.187841
9.500000	15.188903
9.600000	15.212828
9.700000	15.282323
9.800000	15.386258
9.900001	15.510916
10.000000	15.634959

