** File generated by WinEP - 10/08/2023 (5:29p) **

Time    	yaw_ref 
0.000000	13.527801
0.100000	13.521438
0.200000	13.527497
0.300000	13.530449
0.400000	13.528140
0.500000	13.523565
0.600000	13.518419
0.700000	13.513807
0.800000	13.510462
0.900000	13.508581
1.000000	13.507987
1.100000	13.508328
1.200000	13.509231
1.300000	13.510377
1.400000	13.511501
1.500000	13.512410
1.600000	13.512996
1.700000	13.513234
1.800000	13.513165
1.900000	13.512865
2.000000	13.512430
2.100000	13.511946
2.200000	13.511482
2.300000	13.511086
2.400000	13.510777
2.500000	13.510560
2.600000	13.510421
2.700000	13.510338
2.800000	13.510289
2.900000	13.510251
3.000000	13.510208
3.100000	13.510150
3.200000	13.510070
3.300000	13.509968
3.400000	13.509848
3.500000	13.509715
3.600000	13.509577
3.700000	13.509436
3.800000	13.509298
3.900000	13.509167
4.000000	13.509043
4.100000	13.508924
4.200000	13.508812
4.300000	13.508705
4.400000	13.508600
4.500000	13.508497
4.600000	13.508394
4.700000	13.508291
4.800000	13.508187
4.900000	13.508083
5.000000	13.507979
5.100000	13.507875
5.200000	13.507771
5.300000	13.507668
5.400000	13.507566
5.500000	13.507466
5.600000	13.507367
5.700000	13.507269
5.800000	13.507172
5.900000	13.507076
6.000000	13.506982
6.100000	13.523123
6.200000	13.554000
6.300000	13.589703
6.400000	13.650228
6.500000	13.765697
6.600000	13.889482
6.700000	14.007968
6.800000	14.124006
6.900000	14.236551
7.000000	14.342855
7.100000	14.442467
7.200000	14.536582
7.300000	14.626591
7.400000	14.713428
7.500000	14.797318
7.600000	14.877887
7.700000	14.954571
7.800000	15.026826
7.900000	15.094097
8.000000	15.156035
8.100000	15.212546
8.200000	15.263634
8.300000	15.309378
8.400001	15.349877
8.500000	15.385159
8.600000	15.415175
8.700000	15.439843
8.800000	15.459017
8.900001	15.472528
9.000000	15.480331
9.100000	15.482491
9.200000	15.479079
9.300000	15.470067
9.400001	15.455406
9.500000	15.435043
9.600000	15.409015
9.700000	15.377463
9.800000	15.340546
9.900001	15.298381
10.000000	15.251139

