** File generated by WinEP - 10/08/2023 (9:17p) **

Time    	yaw_ref 
0.000000	13.527801
0.100000	13.521441
0.200000	13.527484
0.300000	13.530438
0.400000	13.528139
0.500000	13.523573
0.600000	13.518416
0.700000	13.513769
0.800000	13.510370
0.900000	13.508428
1.000000	13.507770
1.100000	13.508057
1.200000	13.508917
1.300000	13.510035
1.400000	13.511144
1.500000	13.512047
1.600000	13.512632
1.700000	13.512872
1.800000	13.512801
1.900000	13.512496
2.000000	13.512049
2.100000	13.511547
2.200000	13.511061
2.300000	13.510640
2.400000	13.510306
2.500000	13.510065
2.600000	13.509903
2.700000	13.509800
2.800000	13.509733
2.900000	13.509679
3.000000	13.509622
3.100000	13.509548
3.200000	13.509454
3.300000	13.509338
3.400000	13.509204
3.500000	13.509056
3.600000	13.508902
3.700000	13.508745
3.800000	13.508592
3.900000	13.508444
4.000000	13.508304
4.100000	13.508170
4.200000	13.508042
4.300000	13.507919
4.400000	13.507800
4.500000	13.507683
4.600000	13.507565
4.700000	13.507448
4.800000	13.507331
4.900000	13.507214
5.000000	13.507095
5.100000	13.506977
5.200000	13.506860
5.300000	13.506743
5.400000	13.506628
5.500000	13.506515
5.600000	13.506402
5.700000	13.506290
5.800000	13.506181
5.900000	13.506072
6.000000	13.505965
6.100000	13.522097
6.200000	13.552962
6.300000	13.588655
6.400000	13.649255
6.500000	13.766070
6.600000	13.893456
6.700000	14.015224
6.800000	14.133707
6.900000	14.249044
7.000000	14.359388
7.100000	14.464451
7.200000	14.565306
7.300000	14.663083
7.400000	14.758305
7.500000	14.850979
7.600000	14.940812
7.700000	15.027386
7.800000	15.110213
7.900000	15.188754
8.000000	15.262649
8.100000	15.331748
8.200000	15.396041
8.300000	15.455571
8.400001	15.510396
8.500000	15.560455
8.600000	15.605641
8.700000	15.645807
8.800000	15.680771
8.900001	15.710375
9.000000	15.734532
9.100000	15.753257
9.200000	15.766487
9.300000	15.774244
9.400001	15.776531
9.500000	15.773432
9.600000	15.764905
9.700000	15.750829
9.800000	15.731159
9.900001	15.705881
10.000000	15.675060

